month,company,funding,region_or_hq,website,source_url,source_title,article_date,linkedin_count,email_count,review_reasons,source_file
February 2026,Simile,$100M Series A,"Palo Alto, CA (Stanford spinout)",https://simile.ai,https://news.crunchbase.com/venture/biggest-funding-rounds-anthropic-leads-ai-robotics,The Week’s 10 Biggest Funding Rounds: Anthropic Leads In A Big Week For Giant Rounds,,4,4,candidate_was_not_specific_funding_article; candidate_title:The Week’s 10 Biggest Funding Rounds: Anthropic Leads In A Big Week For Giant Rounds,.tmp\research_reports\simile_research_report.md
February 2026,Video Rebirth,$50M,Singapore,https://www.videorebirth.com,,,,0,1,not_us; missing_founder_linkedin,.tmp\research_reports\video_rebirth_research_report.md
Archive,Daffodil Health,$16.3M Series A,"San Francisco, CA",https://daffodilhealth.com,,,,0,0,missing_founder_linkedin,.tmp\research_reports\daffodil_health_research_report.md
Archive,Day AI,$20M Series A,United States (likely Boston/Cambridge area — founder is ex-HubSpot),https://day.ai,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\day_ai_research_report.md
Archive,ElevenLabs,$500M Series D,"Not disclosed (British-Polish company with offices in London, New York, San Francisco, Warsaw, Dublin)",elevenlabs.io,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\elevenlabs_research_report.md
Archive,FYLD,$39.76M Series B,"London, UK (expanding US)",https://fyld.ai,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\fyld_research_report.md
Archive,HabitTrade,$10M Series A,Not found,habittrade.com,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\habittrade_research_report.md
Archive,Inferact,$150M Series B,"San Francisco, CA, United States",inferact.ai,,,,0,0,missing_founder_linkedin,.tmp\research_reports\inferact_research_report.md
Archive,Smart Bricks,$5M Pre-Seed,London & San Francisco,https://smartbricks.ai,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\smart_bricks_research_report.md
Archive,ubees_raw_research,,,,,,,0,0,not_us; missing_founder_linkedin,.tmp\research_reports\ubees_raw_research.md
